restaurant_name,borough,building_num,street,zip_code,phone_num
DESSEO NIGHT CLUB,QUEENS,5215,ROOSEVELT AVENUE,11377,(718)458-5600
DESTEFANO'S STEAKHOUSE,BROOKLYN,89,CONSELYEA ST,11211,(718)384-2836
DESTINY/NORTH RIVER LOBSTER,MANHATTAN,PIER 83,@ WEST 43 STREET,10036,(212)630-8187
DESY'S CLAM BAR RESTAURANT CORP.,BROOKLYN,672,GRAND ST,11211,(347)599-0267
DETOXX BAR,QUEENS,23416,LINDEN BLVD,11411,(718)949-0008
DEUCE & BAM GOOD DINE RESTAURANT,BRONX,3922,WHITE PLAINS RD,10466,(718)325-3463
DEUTSCHE BANK,MANHATTAN,345,PARK AVE,10154,(212)454-1327
DEUTSCHE BANK - EXECUTIVE  DINING  ROOM,MANHATTAN,60,WALL ST,10005,(212)250-7991
DEUTSCHE BANK - MAIN CAFE,MANHATTAN,60,WALL ST,10005,(704)328-5173
DEUX AMIS,MANHATTAN,356,EAST   51 STREET,10022,(212)230-1117
DEVIN'S FISH & CHIPS,MANHATTAN,747,SAINT NICHOLAS AVE,10031,(212)491-5518
DEVINE KOSHER BAKERY,BROOKLYN,1999,MCDONALD AVENUE,11223,(347)554-8114
DEVOCION,BROOKLYN,300,LIVINGSTON ST,11217,(718)285-6180
DEVOCION,BROOKLYN,69,GRAND ST,11249,(718)285-6180
DEVOCION,MANHATTAN,25,E 20TH ST,10003,(718)285-6180
DEVON,MANHATTAN,252,BROOME ST,10002,(212)427-3997
DEVON & BLAKELY,MANHATTAN,185,GREENWICH ST,10007,(212)826-0212
DEVON & BLAKELY,MANHATTAN,250,PARK AVENUE,10177,(212)661-0101
DEVON & BLAKELY,MANHATTAN,780,3 AVENUE,10017,(212)826-0212
DEVON AND BLAKELY,MANHATTAN,1,WORLD FINANCIAL CENTER,10281,(212)786-4206
DEWEY'S PUB,MANHATTAN,135,W 30TH ST,10001,(212)685-7781
DHABA INDIAN CUISINE,MANHATTAN,108,LEXINGTON AVE,10016,(212)679-1284
DHAKA GARDEN,QUEENS,7223,37TH AVE,11372,(718)424-8600
DHAKA RESTAURANT,QUEENS,16832,HILLSIDE AVE,11432,(718)262-9774
DHANSHIRI CHINESE,QUEENS,16928,HILLSIDE AVE,11432,(718)725-0001
DI AN DI,BROOKLYN,68,GREENPOINT AVE,11222,(718)576-3914
DI DI,STATEN ISLAND,183,PORT RICHMOND AVE,10302,(347)459-5512
DI DI RESTAURANT,BROOKLYN,2318,NOSTRAND AVE,11210,(718)951-7459
DI FARA,BROOKLYN,103,N 3RD ST,11249,(646)207-9363
DI FARA PIZZERIA,BROOKLYN,1424,AVENUE J,11230,(718)258-1367
DI-JUICE,QUEENS,24314,MERRICK BLVD,11422,(347)731-0359
DIA,MANHATTAN,58,2ND AVE,10003,(917)675-7664
DIAMANTE POBLANO RESTAURANT,BRONX,2431,JEROME AVENUE,10468,(718)329-5240
DIAMOND DOGS,QUEENS,3404,31ST AVE,11106,(929)522-0061
DIAMOND FOREST YAN'S CHINESE KITCHEN,STATEN ISLAND,356,FOREST AVENUE,10301,(718)720-6669
DIAMOND KRUST,BROOKLYN,387,UTICA AVENUE,11213,(718)467-6720
DIAMOND LIL,BROOKLYN,179,NASSAU AVE,11222,(917)753-8273
DIAMOND REEF,BROOKLYN,1057,ATLANTIC AVE,11238,(917)710-3926
DICHTER PHARMACY,MANHATTAN,4953,B'WAY,10034,(212)569-1230
DICK AND JANE'S,BROOKLYN,266,ADELPHI STREET,11205,(347)227-8021
DICKEY'S BARBEQUE PIT,BROOKLYN,196,FLATBUSH AVE,11217,(347)889-5400
DIDI DUMPLING,MANHATTAN,38,LEXINGTON AVE,10010,(212)466-6618
DIDI WORLD FAMOUS FOOD,BROOKLYN,2972,AVENUE U,11229,(718)368-0180
DIE STANMKNEIPE,BROOKLYN,710,FULTON STREET,11217,(347)841-4495
DIEGO'S PIZZA & RESTAURANT,BRONX,1995,JEROME AVENUE,10453,(718)716-3480
DIG INN,BROOKLYN,166,N 4TH ST,11211,(718)215-6844
DIG INN,MANHATTAN,100,W 67TH ST,10023,(212)335-2107
DIG INN,MANHATTAN,1297,LEXINGTON AVE,10128,(212)253-6176
DIG INN,MANHATTAN,1319,1ST AVE,10021,(646)905-2184
DIG INN,MANHATTAN,133,W 38TH ST,10018,(212)365-5060
DIG INN,MANHATTAN,16,E 23RD ST,10010,(212)253-6174
DIG INN,MANHATTAN,17,East 17th Street,10003,(212)253-7676
DIG INN,MANHATTAN,275,MADISON AVENUE,10016,(212)697-7867
DIG INN,MANHATTAN,350,HUDSON STREET,10014,(212)545-7867
DIG INN,MANHATTAN,412,GREENWICH ST,10013,(212)776-4932
DIG INN,MANHATTAN,463,7TH AVE,10018,(646)973-4448
DIG INN,MANHATTAN,691,BROADWAY,10012,(646)905-2751
DIG INN,MANHATTAN,709,LEXINGTON AVE,10022,(646)905-3166
DIG INN,MANHATTAN,80,PINE ST,10005,(212)785-1110
DIG INN,MANHATTAN,856,8TH AVE,10019,(212)335-2106
DIG INN / MATCHABAR,MANHATTAN,70,PRINCE ST,10012,(212)545-7867
DIG INN SEASONAL MARKET,MANHATTAN,1178,BROADWAY,10001,(212)545-7867
DIG INN SEASONAL MARKET,MANHATTAN,150,EAST   52 STREET,10022,(212)421-3055
DIG INN SEASONAL MARKET,MANHATTAN,225,LIBERTY ST,10280,(212)776-4051
DIG INN SEASONAL MARKET,MANHATTAN,2884,BROADWAY,10025,(212)545-7867
DIG INN SEASONAL MARKET,MANHATTAN,40,WEST   55 STREET,10019,(212)246-6844
DIG INN SEASONAL MARKET,MANHATTAN,80,BROAD ST,10004,(212)776-4052
DILEO'S PIZZERIA,STATEN ISLAND,2491,VICTORY BOULEVARD,10314,(718)761-8888
DILL & PARSLEY,MANHATTAN,295,MADISON AVE,10017,(917)340-3430
DILL AND PARSLEY,MANHATTAN,425,MADISON AVE,10017,(917)340-3430
DILL AND PARSLEY,MANHATTAN,829,3RD AVE,10022,(646)918-6949
DILLER,MANHATTAN,357,GRAND ST,10002,(917)262-0550
DILLINGERS PUB & GRILL,QUEENS,4619,30 AVENUE,11103,(718)956-5601
DIM SUM BAR,BROOKLYN,167,GRAND ST,11249,(718)388-8988
DIM SUM GO GO,MANHATTAN,5,EAST BROADWAY,10038,(212)732-0796
DIM SUM PALACE,MANHATTAN,334,W 46TH ST,10036,(646)861-1910
DIM SUM PALACE,MANHATTAN,47,W 55TH ST,10019,(917)691-3882
DIM SUM PALACE,MANHATTAN,59,2ND AVE,10003,(646)476-8846
DIM SUM VIP,MANHATTAN,68,MOTT ST,10013,(212)226-6889
DIMES,MANHATTAN,143,DIVISION STREET,10002,(212)240-9410
DIMES,MANHATTAN,49,CANAL ST,10002,(212)925-1300
DINAH RESTAURANT,MANHATTAN,166,2ND AVE,10003,(212)995-5437
DINER,BROOKLYN,85,BROADWAY,11249,(718)486-3077
DING,MANHATTAN,234,W 48TH ST,10036,(212)265-0828
DINING HALL @ JOHN JAY  (MBJ FOOD SERVICES),MANHATTAN,524,WEST   59 STREET,10019,(212)582-1629
DINING ROOM,BROOKLYN,56,WILLOUGHBY STREET,11201,(718)488-8901
DINO,BROOKLYN,222,DEKALB AVENUE,11205,(718)222-1999
DINO'S PIZZA,BRONX,5660,MOSHOLU AVENUE,10471,(718)796-0456
DINO'S PIZZA & PASTA,QUEENS,3001,BROADWAY,11106,(718)545-4775
DINO'S TAVERN,QUEENS,4119,23RD AVE,11105,(718)728-3325
DINOSAUR BAR-B-QUE,BROOKLYN,604,UNION STREET,11215,(347)429-7030
DINOSAUR BAR-B-QUE,MANHATTAN,2276,12 AVENUE,10027,(212)694-3777
DIONYSOS,QUEENS,2315,31ST ST,11105,(718)932-3231
DIPPIN' DOTS,BRONX,2300,SOUTHERN BOULEVARD,10460,(718)741-8170
DIPPIN' DOTS,BRONX,2300,SOUTHERN BOULEVARD,10460,(718)741-8295
DIPPIN' DOTS (DINO DOTS),BRONX,2300,SOUTHERN BLVD,10460,(718)741-8295
DIRT CANDY,MANHATTAN,86,ALLEN ST,10002,(212)228-7732
DIRTY BIRD TO GO,MANHATTAN,155,CHAMBERS STREET,10007,(646)476-2221
DIRTY BIRD TO-GO,MANHATTAN,204,WEST   14 STREET,10011,(212)620-4836
DIRTY FRENCH,MANHATTAN,180,LUDLOW ST,10002,(212)254-3000
DIRTY PIERRES BISTRO,QUEENS,13,STATION SQUARE,11375,(718)830-9698
DIRTY PRECIOUS,BROOKLYN,317,3RD AVE,11215,(646)567-7619
DISFRUTA,MANHATTAN,510,WEST  207 STREET,10034,(917)261-2862
DISH FOOD & EVENTS,BROOKLYN,190,N 14TH ST,11249,(347)455-0077
DISHES,MANHATTAN,399,PARK AVENUE,10022,(212)421-5511
DISHES,MANHATTAN,6,EAST   45 STREET,10017,(212)687-5511
DISHES,MANHATTAN,827,3RD AVE,10022,(212)808-5511
DISNEY STARBUCKS,MANHATTAN,77,W 66TH ST,10023,(212)456-4274
DISTILLED NYC,MANHATTAN,211,WEST BROADWAY,10013,(212)431-0700
DISTRIBUIDORA SAN MARCOS,BRONX,969,INTERVALE AVENUE,10459,(718)842-9504
DISTRICT SAIGON,QUEENS,3715,BROADWAY,11103,(718)956-0007
DISTRICT SOCIAL,MANHATTAN,252,W 37TH ST,10018,(212)994-9599
DISTRICT TAP HOUSE,MANHATTAN,246,W 38TH ST,10018,(212)221-1822
DIVE 75,MANHATTAN,101,WEST   75 STREET,10023,(212)362-7518
DIVE BAR,MANHATTAN,732,AMSTERDAM AVENUE,10025,(212)749-4358
DIVE BAR LOUNGE,MANHATTAN,667,10 AVENUE,10036,(646)449-8604
DIVERSE DIM SUM,QUEENS,13335,ROOSEVELT AVE,11354,(347)935-5870
DIVIERA DRIVE,BROOKLYN,131,BERRY ST,11249,(347)987-4302
DIVINA Pharmacy JUICE BAR,QUEENS,8513,NORTHERN BLVD,11372,(718)457-0193
DIVINE BAR & GRILL,BROOKLYN,896,BROADWAY,11206,(718)455-5455
DIVINE BICKLES RESTAURANT.,QUEENS,15721,ROCKAWAY BLVD,11434,(718)949-0095
DIVINE CREATION COFFEE,QUEENS,75,JFK AIRPORT,11430,(347)264-4588
DIVINE EXPRESS CATERING,BROOKLYN,992,ATLANTIC AVE,11238,(718)451-6330
DIVINO'S,QUEENS,16402,CROSSBAY BLVD,11414,(718)738-2005
DIVYA'S KITCHEN,MANHATTAN,25,1ST AVE,10003,(212)477-4834
DIWAN GRILL,BROOKLYN,678,FRANKLIN AVE,11238,(718)230-7852
DIWAN-E- KHAAS,MANHATTAN,53,NASSAU STREET,10038,(212)571-7676
DIWINE,QUEENS,4115,31 AVENUE,11103,(718)777-1355
DIXIE BBQ,BROOKLYN,1316,AVENUE J,11230,(347)587-1068
DIXON PLACE,MANHATTAN,161,CHRYSTIE STREET,10002,(212)219-0736
DIXY CHICKEN & GRILL,BROOKLYN,7504,5TH AVE,11209,(718)238-2898
DIY KARAOKE,QUEENS,13335,ROOSEVELT AVE,11354,(718)539-6666
DIY KARAOKE,QUEENS,2007,127TH ST,11356,(718)353-1999
DIZZY'S CLUB COCA-COLA (ENTRANCE at 20 W60 St-Stage Door),MANHATTAN,10,COLUMBUS CIRCLE,10019,(212)258-9585
DIZZY'S RESTAURANT,BROOKLYN,511,9 STREET,11215,(718)499-1966
DJ CLUB INC KTV & LOUNGE,QUEENS,3346,LINDEN PL,11354,(718)710-3552
DJ PIZZA,MANHATTAN,120,E 34TH ST,10016,(212)951-7075
DJ REYNOLDS PUB AND RESTAURANT,MANHATTAN,351,WEST   57 STREET,10019,(212)245-2912
DJERDAN,BROOKLYN,2283,65 STREET,11204,(718)484-3180
DJERDAN,QUEENS,3404,31 AVENUE,11106,(718)721-2694
DKALABASH,BROOKLYN,1285,FULTON ST,11216,(347)442-5522
DL,MANHATTAN,95,DELANCEY STREET,10002,(212)228-0909
DMILTON JUICE BAR & MORE,BRONX,1106,WESTCHESTER AVE,10459,(718)759-6900
DO COOKIE,MANHATTAN,570,LEXINGTON AVE,10022,(646)892-3600
DO COOKIE DOUGH CONFECTIONS,MANHATTAN,550,LAGUARDIA PL,10012,(646)892-3600
DO HWA,MANHATTAN,55,CARMINE STREET,10014,(212)414-1224
DO OR DIVE,BROOKLYN,1108,BEDFORD AVE,11216,(347)406-8241
DOC HENNIGANS,STATEN ISLAND,1144,FOREST AVE,10310,(929)308-2801
DOC HOLIDAYS,MANHATTAN,141,AVENUE A,10009,(212)979-0312
DOC WATSONS,MANHATTAN,1490,2 AVENUE,10075,(212)988-5300
DOC WINE BAR,BROOKLYN,83,NORTH    7 STREET,11249,(718)963-1925
DOCK ASIAN EATERY,BROOKLYN,22,WYCKOFF AVE,11237,(718)821-0688
DOCKS RESTAURANT,MANHATTAN,633,3 AVENUE,10017,(212)986-8080
DOCTORS CAVE CAFE,BROOKLYN,856,MARCY AVE,11216,(718)398-4776
DOG & BONE,MANHATTAN,338,3RD AVE,10010,(212)889-4663
DOHA,QUEENS,3834,31ST ST,11101,(347)303-5001
DOJO RESTAURANT,MANHATTAN,10,WEST 4 STREET,10012,(212)505-8934
DOKDOYA,QUEENS,16129,CROCHERON AVE,11358,(917)563-5742
DOKEBI GRILL,BROOKLYN,199,GRAND STREET,11211,(718)782-1424
DOKODEMO,MANHATTAN,89,E 4TH ST,10003,(917)261-5228
DOLCE BROOKLYN,BROOKLYN,305,VAN BRUNT ST,11231,(917)497-3832
DOLCE FANTASIA,STATEN ISLAND,1210,FOREST AVE,10310,(917)858-2917
DOLCE VITA,BROOKLYN,5811,AVENUE N,11234,(718)444-3537
DOLCI PARADISE BAKERY,QUEENS,4807,45 STREET,11377,(718)937-3410
DOLCINO TRATTORIA TOSCANA,MANHATTAN,517,2 AVENUE,10016,(212)448-9505
DOLL'S,QUEENS,14432,HILLSIDE AVENUE,11435,(718)291-0102
DOLLY'S ITALIAN ICES,BROOKLYN,5805,AVENUE T,11234,(347)582-1075
DOLMA RESTAURANT,BROOKLYN,311,AVENUE X,11223,(347)274-5777
DOMA,QUEENS,4343,41ST ST,11104,(718)707-0615
DOMAINE WINE BAR,QUEENS,5004,VERNON BOULEVARD,11101,(718)784-2350
DOMAND'S ITALIAN GOURMET DELI & CATERERS,QUEENS,3029,STRATTON ST,11354,(718)886-4418
DOMENIC'S PIZZA,BRONX,1015,ALLERTON AVE,10469,(718)547-6171
DOMENICKS PIZZA RESTARUANT,QUEENS,8774,SUTPHIN BLVD,11435,(917)548-8956
DOMENICO PIZZERIA,STATEN ISLAND,3295,AMBOY RD,10306,(718)351-2100
DOMENICO VACCA,MANHATTAN,15,W 55TH ST,10019,(917)903-4020
DOMENICOS PIZZERIA,STATEN ISLAND,5838,AMBOY ROAD,10309,(718)966-0114
DOMICILE,BROOKLYN,185,HOWARD AVE,11233,(347)240-7728
DOMINICAN FLAVORS,BRONX,145,BRUCKNER BLVD,10454,(929)265-9909
DOMINICAN FOOD CORP,STATEN ISLAND,2180,FOREST AVE,10303,(718)442-4616
DOMINICAN VALLE RESTAURANT,BRONX,3815,WHITE PLAINS RD,10467,(347)583-9202
DOMINICANA POLLO SABROSO RESTAURANT,BRONX,105,E MOUNT EDEN AVE,10452,(718)294-4403
DOMINICK'S BAR & RESTAURANT,BRONX,2335,ARTHUR AVENUE,10458,(718)733-2807
DOMINICK'S S & D CATERRES,BRONX,1514,CROSBY AVE,10461,(718)597-3620
DOMINICKS  PIZZERIA,BROOKLYN,4901,8 AVENUE,11220,(718)438-1700
DOMINIE'S HOEK,QUEENS,4817,VERNON BOULEVARD,11101,(917)353-4050
DOMINIES,QUEENS,3407,30 AVENUE,11103,(917)353-4050
DOMINIQUE ANSEL BAKERY,MANHATTAN,189,SPRING STREET,10012,(212)219-2773
DOMINIQUE ANSEL KITCHEN,MANHATTAN,137,7TH AVE S,10014,(212)242-5111
DOMINO'S,BRONX,1351,WEBSTER AVENUE,10456,(718)537-4700
DOMINO'S,BRONX,1468,WESTCHESTER AVE,10472,(718)893-1777
DOMINO'S,BRONX,2025,WESTCHESTER AVE,10462,(718)518-8770
DOMINO'S,BRONX,2075,JEROME AVE,10453,(718)365-3599
DOMINO'S,BRONX,2463,WEBSTER AVENUE,10458,(718)365-5430
DOMINO'S,BRONX,2721,BRONXWOOD AVE,10469,(347)712-3311
DOMINO'S,BRONX,3025,3RD AVE,10455,(203)536-0660
DOMINO'S,BRONX,3484,BOSTON ROAD,10469,(718)671-5155
DOMINO'S,BRONX,3611,KINGSBRIDGE AVENUE,10463,(718)601-3030
DOMINO'S,BRONX,3706,EAST TREMONT AVENUE,10465,(718)430-9300
DOMINO'S,BRONX,3869,WHITE PLAINS ROAD,10467,(718)653-4618
DOMINO'S,BRONX,41,EAST  167 STREET,10452,(718)293-2170
DOMINO'S,BRONX,686,NEREID AVENUE,10470,(718)882-4393
DOMINO'S,BRONX,738,MORRIS PARK AVENUE,10462,(718)822-6010
DOMINO'S,BRONX,921,EAST TREMONT AVENUE,10460,(718)542-4993
DOMINO'S,BROOKLYN,1111,PENNSYLVANIA AVENUE,11207,(718)272-1212
DOMINO'S,BROOKLYN,1216,CORTELYOU RD,11218,(718)692-0900
DOMINO'S,BROOKLYN,146,SMITH STREET,11201,(718)596-7000
DOMINO'S,BROOKLYN,1479,FULTON STREET,11216,(718)221-4800
DOMINO'S,BROOKLYN,1544,BROADWAY,11221,(347)657-7577
DOMINO'S,BROOKLYN,1555,NOSTRAND AVENUE,11226,(718)826-3030
DOMINO'S,BROOKLYN,1758,PITKIN AVENUE,11212,(718)385-4545
DOMINO'S,BROOKLYN,1772,RALPH AVENUE,11236,(718)763-7007
DOMINO'S,BROOKLYN,183,GRAHAM AVENUE,11206,(718)302-2402
DOMINO'S,BROOKLYN,1972,FLATBUSH AVENUE,11234,(718)692-2000
DOMINO'S,BROOKLYN,2048,ROCKAWAY PKWY,11236,(718)531-0210
DOMINO'S,BROOKLYN,2196,PITKIN AVENUE,11207,(718)495-4441
DOMINO'S,BROOKLYN,241,ROCKAWAY PARKWAY,11212,(718)756-5666
DOMINO'S,BROOKLYN,328,MYRTLE AVE,11205,(516)603-8816
DOMINO'S,BROOKLYN,3514,NOSTRAND AVENUE,11229,(718)769-3111
DOMINO'S,BROOKLYN,3901,4 AVENUE,11232,(718)633-3733
DOMINO'S,BROOKLYN,554,5 AVENUE,11215,(718)972-3733
DOMINO'S,BROOKLYN,7722,13 AVENUE,11228,(718)833-9222
DOMINO'S,BROOKLYN,835,CLARKSON AVENUE,11203,(718)773-7445
DOMINO'S,BROOKLYN,9105,4 AVENUE,11209,(718)748-7879
DOMINO'S,BROOKLYN,954,NOSTRAND AVE,11225,(718)778-0110
DOMINO'S,MANHATTAN,148,WEST   72 STREET,10023,(212)501-0200
DOMINO'S,MANHATTAN,16A,W 8TH ST,10011,(212)353-3100
DOMINO'S,MANHATTAN,170,WEST   23 STREET,10011,(212)243-5700
DOMINO'S,MANHATTAN,181,CHURCH STREET,10007,(212)566-8888
DOMINO'S,MANHATTAN,1988,AMSTERDAM AVE,10032,(212)923-3030
DOMINO'S,MANHATTAN,227,WEST   40 STREET,10018,(212)944-0400
DOMINO'S,MANHATTAN,409,WEST  125 STREET,10027,(212)280-3200
DOMINO'S,MANHATTAN,440,E 14TH ST,10009,(212)473-3030
DOMINO'S,MANHATTAN,45,CATHERINE ST,10038,(917)945-1333
DOMINO'S,MANHATTAN,464,3RD AVENUE,10016,(212)545-0200
DOMINO'S,MANHATTAN,943,1ST AVE,10022,(212)759-6600
DOMINO'S,MANHATTAN,965,AMSTERDAM AVE,10025,(212)222-2000
DOMINO'S,QUEENS,109-64,FRANCIS LEWIS BLVD,11429,(718)776-3030
DOMINO'S,QUEENS,12521,ROCKAWAY BOULEVARD,11420,(718)835-3030
DOMINO'S,QUEENS,13131,MERRICK BOULEVARD,11434,(718)723-3000
DOMINO'S,QUEENS,13857,QUEENS BOULEVARD,11435,(718)739-3334
DOMINO'S,QUEENS,14907,NORTHERN BOULEVARD,11354,(718)461-6500
DOMINO'S,QUEENS,150-29,CROSS BAY BLVD,11417,(734)930-7019
DOMINO'S,QUEENS,24722D,S CONDUIT AVE,11422,(718)717-8877
DOMINO'S,QUEENS,2555,STEINWAY STREET,11103,(718)545-3030
DOMINO'S,QUEENS,3215,JUNCTION BOULEVARD,11369,(718)458-3030
DOMINO'S,QUEENS,3626,BELL BOULEVARD,11361,(718)225-7575
DOMINO'S,QUEENS,524,BEACH   20 STREET,11691,(718)337-7100
DOMINO'S,QUEENS,6314,QUEENS BLVD,11377,(718)898-3890
DOMINO'S,QUEENS,7802,JAMAICA AVE,11421,(718)296-0303
DOMINO'S,QUEENS,815,ONDERDONK AVE,11385,(516)603-8816
DOMINO'S,QUEENS,815,ONDERDONK AVENUE,11385,(718)326-8686
DOMINO'S,QUEENS,8717,LEFFERTS BLVD,11418,(347)644-2844
DOMINO'S,QUEENS,9045,CORONA AVENUE,11373,(718)457-3030
DOMINO'S,QUEENS,9528,QUEENS BOULEVARD,11374,(718)896-1717
DOMINO'S,QUEENS,9614,METROPOLITAN AVE,11375,(718)793-2024
DOMINO'S,STATEN ISLAND,1300,HYLAN BLVD,10305,(718)667-1900
DOMINO'S,STATEN ISLAND,1430,RICHMOND AVE,10314,(718)370-2000
DOMINO'S,STATEN ISLAND,1789,VICTORY BLVD,10314,(718)208-4900
DOMINO'S,STATEN ISLAND,25,VICTORY BLVD,10301,(718)273-4848
DOMINO'S,STATEN ISLAND,3902,RICHMOND AVE,10312,(516)603-8816
DOMINO'S PIZZA,BRONX,946,SOUTHERN BLVD,10459,(203)536-0660
DOMINO'S PIZZA,BROOKLYN,886,DEKALB AVE,11221,(734)930-7019
DOMINO'S PIZZA,MANHATTAN,1396,1ST AVE,10021,(347)599-5065
DOMINO'S PIZZA,MANHATTAN,153,E 116TH ST,10029,(212)831-1024
DOMINO'S PIZZA,MANHATTAN,1841,1ST AVE,10128,(212)996-7800
DOMINO'S PIZZA,MANHATTAN,1993,3RD AVE,10029,(914)337-3370
DOMINO'S PIZZA,MANHATTAN,3624,BROADWAY,10031,(212)926-1234
DOMINO'S PIZZA,MANHATTAN,4797,BROADWAY,10034,(212)567-8600
DOMINO'S PIZZA,MANHATTAN,592,COLUMBUS AVE,10024,(212)496-5900
DOMINO'S PIZZA,MANHATTAN,736,WEST  181 STREET,10033,(212)781-3700
DOMINO'S PIZZA #3322,BRONX,315,E 204TH ST,10467,(718)734-2666
DOMINO'S PIZZA (#3321),BRONX,220,E 161ST ST,10451,(203)536-0660
DOMINOS,QUEENS,9614,METROPOLITAN AVE,11375,(516)603-8816
DOMINOS PIZZA,MANHATTAN,196,STANTON ST,10002,(212)677-7776
DOMINOS PIZZA #3334,QUEENS,10950,MERRICK BLVD,11433,(734)930-7019
DOMO TACO,BROOKLYN,733,FRANKLIN AVE,11238,(718)484-4485
DOMODOMO KITCHEN/ RAW BAR,MANHATTAN,138-140,W HOUSTON ST,10012,(646)707-0301
DON ALEX RESTAURANT,QUEENS,8410,37 AVENUE,11372,(718)424-0233
DON ALEX RESTAURANT,QUEENS,9504,37 AVENUE,11372,(718)424-5187
DON ALEX RESTAURANT,QUEENS,9544,ROOSEVELT AVE,11372,(718)424-0123
DON ALEX RESTAURANT,QUEENS,9705,64 AVENUE,11374,(718)275-1112
DON ANGIE,MANHATTAN,103,GREENWICH AVE,10014,(212)889-8884
DON ANTONIO RESTAURANT,MANHATTAN,309,WEST   50 STREET,10019,(646)719-1043
DON BURRITO RESTAURANT,BROOKLYN,5,NEWKIRK PLAZA,11226,(718)421-9525
DON CESAR,STATEN ISLAND,7528,AMBOY RD,10307,(646)286-6247
DON CHILE MEXICAN GRILL,BRONX,801,SOUTHERN BLVD,10459,(718)576-6462
DON CHIMI RESTAURANT,BROOKLYN,3221,FULTON ST,11208,(347)442-1372
DON CHINGON,BROOKLYN,216,FLATBUSH AVE,11217,(718)576-3521
DON CHUCHO,STATEN ISLAND,1112,FOREST AVE,10310,(929)364-0030
DON COQUI,QUEENS,2818,31ST STREET,11102,(718)274-7474
DON EMILIO DINER RESTAURANT,BRONX,1315,CASTLE HILL AVE,10462,(347)821-2778
DON FILIPPO RESTAURANT,MANHATTAN,1133,LEXINGTON AVENUE,10075,(212)744-3610
DON FRANCISCO JUNIOR,QUEENS,9508,35TH AVE,11372,(718)639-2669
DON GIOVANNI,MANHATTAN,358,WEST   44 STREET,10036,(212)581-4939
DON GIOVANNI RESTAURANT,MANHATTAN,214,10 AVENUE,10011,(212)242-9054
DON LEO'S PLACE,BRONX,648,SOUNDVIEW AVE,10473,(718)450-9269
DON MARIO ROTISSERIE CHICKEN,BROOKLYN,7302,3RD AVE,11209,(718)748-9090
DON NICO'S,QUEENS,9014,161ST ST,11432,(718)297-6426
DON PACO LOPEZ PANADERIA,MANHATTAN,2129,3 AVENUE,10035,(212)876-0700
DON PANCHITO RESTAURANT,MANHATTAN,2102,AMSTERDAM AVENUE,10032,(212)795-3290
DON PANCHO VILLA RESTAURANT,BROOKLYN,189,BORINQUEN PL,11211,(718)388-4552
DON PANCHO'S STEAK HOUSE,BRONX,43,BRUCKNER BOULEVARD,10454,(718)585-5855
DON PANCHOLO LECHONERA RESTAURANT,BRONX,2037,JEROME AVE,10453,(718)583-2979
DON PATRON BAR & GRILL,BROOKLYN,1217,CHURCH AVE,11218,(347)305-3155
DON PEPI PIZZA,MANHATTAN,000,PENN STATION,10121,(212)967-4385
DON PEPPE,QUEENS,13558,LEFFERTS BOULEVARD,11420,(718)845-7587
DON PICHON RESTAURANT,BRONX,359,SOUTHERN BOULEVARD,10454,(718)742-2776
DON POLLO,QUEENS,4106,GREENPOINT AVE,11104,(718)361-5898
DON POLLO,QUEENS,8302,95TH AVE,11416,(718)647-0007
DON RAMON RESTAURANT,MANHATTAN,973,COLUMBUS AVE,10025,(646)850-0019
DON TACO MEXICAN CUISINE,MANHATTAN,4321,BROADWAY,10033,(929)302-5658
DON TEQUILA URBAN CANTINA,QUEENS,8338,WOODHAVEN BOULEVARD,11385,(646)465-3274
DON WAGYU,MANHATTAN,28,S WILLIAM ST,10004,(646)591-6767
DON'S BOGAM BLACK,MANHATTAN,276,5TH AVE,10001,(212)685-2727
DONA BELLA  PIZZA,MANHATTAN,154,CHURCH STREET,10007,(212)374-1130
DONA TINA RESTUARNAT,MANHATTAN,1830,AMSTERDAM AVE,10031,(347)634-5760
DONA ZITA MEXICAN FOOD,BROOKLYN,1221,BOWERY ST,11224,(347)589-9396
DONATO'S PIZZERIA RESTAURANT,QUEENS,5022,39 AVENUE,11377,(718)507-4591
DONER KEBAB,BROOKLYN,34,WILLOUGHBY ST,11201,(718)222-3434
DONG CHUN HONG CHINESE RESTAURANT,MANHATTAN,312,5 AVENUE,10001,(212)268-7888
DONG HAI,BROOKLYN,5024,7TH AVE,11220,(646)250-0676
DONG KING,BRONX,80,WEST  165 STREET,10452,(718)538-8253
DONGWON SUSHI & TUNA,QUEENS,4119,162ND ST,11358,(718)961-1761
DONNA,BROOKLYN,27,BROADWAY,11249,(917)847-4434
DONNA BELL'S BAKE SHOP,MANHATTAN,301,WEST   49 STREET,10019,(646)410-0390
DONNA MARGHERITIA,MANHATTAN,1304A,2 AVENUE,10065,(212)772-1169
DONNA'S DUTCH POT,BROOKLYN,1073,LIBERTY AVE,11208,(917)628-0421
DONOHUE'S STEAK HOUSE,MANHATTAN,845,LEXINGTON AVENUE,10065,(212)744-0938
DONOVAN'S GRILL & TAVERN,QUEENS,21416,41 AVENUE,11361,(718)423-5353
DONOVAN'S PUB,QUEENS,5724,ROOSEVELT AVE,11377,(718)429-9339
DONT TELL MAMA,MANHATTAN,343,WEST   46 STREET,10036,(212)757-0788
