Restaurant,Location,Ratings,Cuisine,Specials
El Vez New York,Battery Park,89% Recommend,Mexican, $42 Dinner *excluding weekends 
Pig and Khao,Lower East Side,92% Recommend,Southeast Asian, $26 Lunch *Sunday only | $42 Dinner *excluding Saturday 
Sarabeth's TriBeCa,TriBeCa - Downtown,75% Recommend,American, $26 Lunch M-F | $42 Dinner *excluding Saturday 
MAMO Restaurant,SoHo,95% Recommend,Italian, $26 Lunch* | $42 Dinner *excluding Saturday 
Leuca,Williamsburg,83% Recommend,Italian, $26 Lunch M-F | $42 Dinner *excluding Saturday 
Bâtard,TriBeCa - Downtown,93% Recommend,French, $42 Dinner *excluding weekends 
Il Mulino New York - Downtown,Greenwich Village,89% Recommend,Italian, $26 Lunch *excluding weekends 
BAAR BAAR,East Village,86% Recommend,Contemporary Indian, $42 Dinner *excluding Saturday 
The Bombay Bread Bar,SoHo,65% Recommend,Indian, $26 Lunch *Sunday only | $42 Dinner *excluding Saturday 
Little Park,TriBeCa - Downtown,96% Recommend,Contemporary American, $26 Lunch M-F | $42 Dinner *excluding Saturday 
Narcissa Restaurant,East Village,92% Recommend,Contemporary American, $42 Dinner *excluding Saturdays 
MR CHOW - TriBeca,TriBeCa - Downtown,68% Recommend,Chinese, $42 Dinner *excluding Saturdays 
Essex,Lower East Side,76% Recommend,Fusion / Eclectic, $42 Dinner *excluding Saturday 
Pera Soho,SoHo,80% Recommend,Mediterranean, $26 Lunch M-F | $26 Brunch *Sunday only | $42 Dinner *excluding Saturdays 
Tribeca Grill,TriBeCa - Downtown,86% Recommend,American, $26 Lunch M-F | $26 Brunch *Sunday only | $42 Dinner *excluding Saturday 
Delmonico's,Financial District,94% Recommend,Steakhouse, $26 Lunch* | $42 Dinner *excluding weekends 
Dos Caminos - SoHo,SoHo,80% Recommend,Mexican, $26 Lunch M-F | $42 Dinner *excluding Saturday 
Gran Morsi,TriBeCa - Downtown,90% Recommend,Italian, $26 Lunch M-F | $42 Dinner *excluding Saturday 
Toloache Thompson St.,Greenwich Village,88% Recommend,Mexican, $26 Lunch M-F | $26 Brunch *Sunday only | $42 Dinner *excluding Saturday 
Temple Court,Financial District,90% Recommend,American, $26 Lunch M-F | $42 Dinner *excluding Saturday 
Khe-Yo,TriBeCa - Downtown,85% Recommend,Laotian, $26 Lunch M-F | $26 Brunch *Sunday only | $42 Dinner *excluding Saturday 
The Osprey,DUMBO / Vinegar Hill,93% Recommend,American, $26 Lunch* | $42 Dinner *excluding weekends 
SAN CARLO  Osteria Piemonte,SoHo,91% Recommend,Italian, $26 Lunch M-F | $26 Brunch *Sunday only | $42 Dinner *excluding Saturday 
Osteria della Pace - Eataly NYC Downtown,Financial District,87% Recommend,Italian, $26 Lunch* | $42 Dinner *excluding weekends 
Il Mulino New York - Tribeca,TriBeCa - Downtown,89% Recommend,Italian, $26 Lunch* | $42 Dinner *excluding Saturday 
La Loteria,West Village,90% Recommend,Contemporary Mexican, $26 Lunch M-F | $26 Brunch *Sunday only | $42 Dinner *excluding Saturday 
Porsena,East Village,97% Recommend,Italian, $42 Dinner *excluding weekends 
Il Mulino Prime - SoHo,SoHo,71% Recommend,Italian, $26 Lunch* | $42 Dinner *excluding Saturday 
Fonda - East Village,East Village,89% Recommend,Contemporary Mexican, $42 Dinner *excluding Saturday 
10 Corso Como - New York,South Street Seaport,82% Recommend,Italian, $26 Lunch M-F | $26 Brunch *Sunday only | $42 Dinner *excluding Saturday
The Woo,SoHo,100% Recommend,Korean, $26 Lunch M-F | $26 Brunch *Sunday only | $42 Dinner *excluding Saturday 
Socarrat Paella Bar - Nolita,NoLita,93% Recommend,Spanish, $26 Lunch *Sunday only | $42 Dinner *excluding Saturday 
Antica Pesa,Williamsburg,78% Recommend,Italian, $42 Dinner *excluding Saturday 
American Cut Steakhouse,TriBeCa - Downtown,71% Recommend,Steakhouse, $42 Dinner *excluding Weekends 
The Palm Tribeca,TriBeCa - Downtown,89% Recommend,Steakhouse, $26 Lunch M-F | $42 Dinner *excluding Saturday 
La Sirene,SoHo,94% Recommend,French, $26 Lunch* | $42 Dinner *excluding Saturday 
CUT By Wolfgang Puck at FS Downtown New York,TriBeCa - Downtown,86% Recommend,Steak, $26 Lunch  *excluding weekends 
The Capital Grille - NY- Wall Street,Financial District,93% Recommend,Steakhouse, $26 Lunch* | $42 Dinner *excluding weekends 
Felice 15 Gold Street,Financial District,97% Recommend,Italian, $26 Lunch* | $42 Dinner *excluding Saturday 
Rosa Mexicano - TriBeCa,TriBeCa - Downtown,82% Recommend,Mexican, $26 Lunch M-F | $42 Dinner *excluding Saturday 
Barano,Williamsburg,100% Recommend,Italian, $42 Dinner *excluding Saturday 
Frankie and Johnnie's Steakhouse - 46th Street,Midtown West,76% Recommend,Steakhouse, $26 Lunch M-F | $42 Dinner *excluding Saturday 
The Wright,Upper East Side,91% Recommend,American, $26 Lunch *excluding weekends 
Henry at Life Hotel,NoMad,100% Recommend,"Global, International", $26 Brunch *Sunday only | $42 Dinner *excluding Saturday 
Strip House Speakeasy,Union Square,85% Recommend,Steakhouse, $42 Dinner *excluding weekends 
The Morgan Dining Room,Murray Hill,87% Recommend,American, $26 Lunch *excluding weekends 
The Library at the Public,NoHo,92% Recommend,American, $42 Dinner *excluding Saturday 
Cipriani - Wall Street,Financial District,84% Recommend,Italian, $26 Lunch* | $42 Dinner *excluding weekends 
Tarallucci e Vino East Village,East Village,88% Recommend,Italian, $26 Lunch* | $42 Dinner *excluding weekends 
Thalassa,TriBeCa - Downtown,82% Recommend,Seafood, $26 Lunch* | $42 Dinner *excluding weekends 
Limani,Roslyn,91% Recommend,Mediterranean, $26 Lunch* | $42 Dinner *excluding Saturday 
Schilling,TriBeCa - Downtown,93% Recommend,Austrian, $26 Lunch M-F | $42 Dinner *excluding Saturday 
Altesi Downtown,SoHo,90% Recommend,Italian, $26 Lunch* | $42 Dinner *excluding Saturday
Harold's,SoHo,85% Recommend,American, $42 Dinner *excluding Saturday 
Benchmark Restaurant,Park Slope,87% Recommend,Contemporary American, $26 Lunch M-F | $26 Brunch *Sunday only | $42 Dinner *excluding Saturday 
Bellini,Financial District,78% Recommend,Italian, $26 Lunch *excluding weekends 
Bistrot Leo,SoHo,100% Recommend,French, $26 Lunch M-F | $26 Brunch *Sunday only | $42 Dinner *excluding Saturday 
MarkJoseph Steakhouse,Financial District,94% Recommend,Steakhouse, $26 Lunch M-F |$42 Dinner *excluding Saturday 
ATRIO Wine Bar & Restaurant,Battery Park,75% Recommend,Contemporary American, $26 Lunch* | $42 Dinner *excluding weekends 
Nonna Beppa,TriBeCa - Downtown,100% Recommend,Italian, $26 Lunch M-F | $26 Brunch *Sunday Only | $42 Dinner *excluding Saturdays 
The Tuck Room- New York,South Street Seaport,76% Recommend,Gastro Pub, $26 Lunch* | $42 Dinner *excluding Saturday 
Morton's The Steakhouse - World Trade Center,Financial District,90% Recommend,Steakhouse, $26 Lunch M-F | $42 Dinner *excluding Saturdays 
Joseph's Restaurant,Financial District,100% Recommend,Italian, $26 Lunch* | $42 Dinner *excluding weekends 
2 West at The Wagner Hotel,Battery Park,86% Recommend,Contemporary American, $26 Lunch* | $42 Dinner *excluding weekends 
Greenhouse Cafe,Bay Ridge,88% Recommend,Continental, $26 Lunch* | $42 Dinner *excluding Saturdays 
"Lorenzo's Restaurant, Bar & Caberet - Hilton Garden Inn - SI",Staten Island,NA,Italian, $42 Dinner *excluding weekends 
Soogil,East Village,90% Recommend,Korean, $42 Dinner *excluding weekends 
Senya,Lower East Side,100% Recommend,Japanese, $42 Dinner *excluding Saturday 
Yellow Magnolia Café,Prospect Heights,91% Recommend,American, $26 Lunch *excluding weekends 
Stella Trattoria & Bar,Blue Point,91% Recommend,Italian, $26 Lunch *excluding weekends 
