,restaurant_name,borough,building_num,street,zip_code,phone_num,inspection_score,grade
5127,Compton'S,Queens,3002,14TH ST,11102,(917)475-0573,5.0,A
5128,Con Edison Cafeteria,Manhattan,4,IRVING PLACE,10003,(212)460-6075,7.666666666666667,A
5129,Con Edison/ The Learning Center,Queens,4382,VERNON BOULEVARD,11101,(718)425-6131,10.333333333333334,A
5130,Con Sabor A Mexico,Manhattan,711,W 181ST ST,10033,(212)568-3830,40.0625,C
5131,Con Sabor Latino Restaurant,Bronx,3652,BAILEY AVE,10463,(718)549-0035,9.625,A
5132,Concept,Manhattan,50,BOWERY,10013,(646)630-8056,40.4,C
5133,Concession 105,Bronx,1,E 161ST ST,10451,(917)284-3260,2.0,A
5134,Concession Stand 120,Brooklyn,1904,SURF AVENUE,11224,(718)266-3164,22.77777777777778,B
5135,Concettina,Queens,16024,WILLETS POINT BLVD,11357,(718)281-4210,10.0,A
5136,Concord Hill Restaurant,Brooklyn,374,GRAHAM AVE,11211,(347)463-9322,12.916666666666666,A
5137,Concorde Room,Queens,59,JFK AIRPORT PLC,11430,(718)425-5760,11.8,A
5138,Concourse Bakery,Bronx,1189,MORRIS AVE,10456,(914)668-7690,17.555555555555557,B
5139,Concourse Multiplex Cinemas,Bronx,214,EAST  161 STREET,10451,(718)588-9637,11.8,A
5140,Concrete,Brooklyn,906,BROADWAY,11206,(917)966-8440,43.09090909090909,C
5141,Conde Nast,Manhattan,1,WORLD TRADE CENTER,10007,(212)286-3961,6.6,A
5142,Coneja Juice Bar,Bronx,176,E 174TH ST,10457,(917)687-5865,8.0,A
5143,Cones,Manhattan,272,BLEECKER STREET,10014,(212)414-1795,8.857142857142858,A
5144,Coney Island Taste,Brooklyn,2580,CONEY ISLAND AVENUE,11223,(718)339-8371,16.863636363636363,B
5145,Coney'S Cones,Brooklyn,1023,BOARDWALK W,11224,(718)373-5862,12.0,A
5146,Confections Dessert Lounge,Staten Island,65,PAGE AVE,10309,(718)554-4992,8.6,A
5147,Congee Village,Manhattan,100,ALLEN ST,10002,(212)941-1818,29.583333333333332,C
5148,Congee Village Restaurant & Bar Of Flushing,Queens,3636,PRINCE ST,11354,(718)888-9799,17.545454545454547,B
5149,Congress,Brooklyn,208,COURT ST,11201,(646)339-8659,15.166666666666666,B
5150,Conmigo,Manhattan,1685,1ST AVE,10128,(212)256-0056,25.333333333333332,B
5151,Connecticut Muffin,Brooklyn,171,7 AVENUE,11215,(718)768-2022,8.333333333333334,A
5152,Connecticut Muffin,Brooklyn,206,PROSPECT PARK WEST,11215,(718)965-2067,14.142857142857142,B
5153,Connecticut Muffin,Brooklyn,423,MYRTLE AVENUE,11205,(718)935-0087,9.363636363636363,A
5154,Connie O'S,Brooklyn,158,NORMAN AVENUE,11222,(917)578-7959,8.4,A
5155,Connie'S Deli,Bronx,240,EAST  204 STREET,10458,(718)220-6911,18.444444444444443,B
5156,Connie'S Pizzeria,Brooklyn,3845,NOSTRAND AVENUE,11235,(718)646-9644,25.606060606060606,B
5157,Connolly'S,Manhattan,121,WEST   45 STREET,10036,(212)597-5126,8.8,A
5158,Connolly'S,Queens,155,BEACH   95 STREET,11693,(718)474-2374,10.2,A
5159,Connolly'S Corner,Queens,7115,GRAND AVENUE,11378,(718)565-7383,15.842105263157896,B
5160,Connolly'S Pub,Manhattan,14,EAST   47 STREET,10017,(212)867-3767,24.571428571428573,B
5161,Connolly'S Pub,Manhattan,43,WEST   54 STREET,10019,(212)489-0271,10.4,A
5162,Conrad Famous Bakery,Brooklyn,299,UTICA AVENUE,11213,(718)773-8266,20.90909090909091,B
5163,Conrad New York Main Kitchen,Manhattan,102,NORTH END AVENUE,10282,(212)945-0100,14.071428571428571,B
5164,Conrad'S Bakery,Brooklyn,5101,CHURCH AVE,11203,(718)942-4420,20.5,B
5165,Constant Spring Restaurant,Bronx,1344,EAST GUN HILL RD,10469,(646)571-1893,38.46153846153846,C
5166,Constantine Restaurant And Bar,Brooklyn,457,39TH ST,11232,(917)332-8878,11.375,A
5167,Constantines Deli,Queens,20510,48 AVENUE,11364,(718)225-6918,16.272727272727273,B
5170,Conti'S Pastry Shoppe,Bronx,786,MORRIS PARK AVE,10462,(718)239-9339,16.88888888888889,B
5171,Continental Luncheonette & Deli,Queens,10403,METROPOLITAN AVENUE,11375,(718)520-8336,7.6,A
5172,Contra,Manhattan,138,ORCHARD ST,10002,(212)466-4633,16.833333333333332,B
5173,Convene,Manhattan,1,LIBERTY PLZ,10006,(973)978-5620,7.0,A
5174,Convene,Manhattan,101,GREENWICH ST,10006,(917)599-7414,10.75,A
5175,Convene,Manhattan,101,PARK AVE,10178,(646)854-7952,10.0,A
5176,Convene,Manhattan,117,W 46TH ST,10036,(609)203-6083,8.875,A
5177,Convene,Manhattan,75,ROCKEFELLER PLZ,10019,(917)268-3240,5.0,A
5178,Convene,Manhattan,810,7 AVENUE,10019,(646)599-8908,8.727272727272727,A
5179,Convene 237 Park,Manhattan,237,PARK AVE,10017,(646)661-7163,10.0,A
5180,Convene 780,Manhattan,780,3RD AVE,10017,(646)627-8795,8.0,A
5181,Convene At 32 Old Slip,Manhattan,32,OLD SLIP,10005,(646)963-1181,10.428571428571429,A
5182,Convene At One World Commons,Manhattan,1,WORLD TRADE CTR,10007,(917)485-1968,9.25,A
5183,Convivium Osteria,Brooklyn,68,5 AVENUE,11217,(718)857-1833,10.2,A
5184,Conway Bistro,Queens,13620,ROOSEVELT AVE,11354,(718)321-8686,9.125,A
5185,Coogan'S,Manhattan,4015,BROADWAY,10032,(212)928-1234,14.466666666666667,B
5186,Cook Eatery,Manhattan,1412,BROADWAY,10018,(212)997-7601,22.88,B
5187,Cookie Crumz,Queens,1015,44TH RD,11101,(631)827-3291,5.0,A
5188,Cookie Do,Brooklyn,55,WATER ST,11201,(917)743-7388,33.0,C
5189,Cookie Jar,Staten Island,1226,FOREST AVENUE,10310,(718)448-3500,10.375,A
5190,Cookie'S Lounge,Queens,13208,CROSSBAY BOULEVARD,11417,(718)835-5693,11.333333333333334,A
5191,Cookies And Cream Pastry Shop,Queens,11928,METROPOLITAN AVE,11415,(929)244-7006,12.0,A
5193,Cookunity,Manhattan,737,2ND AVE,10016,(929)257-3793,6.333333333333333,A
5194,Cool Fresh Juice Bar,Manhattan,2661,BROADWAY,10025,(646)506-5554,8.777777777777779,A
5195,Cool Fresh Juice Bar,Manhattan,333,6TH AVE,10014,(646)756-9928,12.636363636363637,A
5196,Cool Ice,Staten Island,1872,VICTORY BOULEVARD,10314,(347)466-5528,28.0,C
5197,Cooler Runnings Jamaican Restaurant,Bronx,1802,NEREID AVENUE,10466,(718)324-7484,12.2,A
5198,Cooper Beer Garden,Queens,8000,COOPER AVE,11385,(917)582-9665,5.8,A
5199,Cooper Town Diner,Manhattan,339,1 AVENUE,10003,(212)677-9287,14.764705882352942,B
5200,Cooper'S Craft & Kitchen,Manhattan,87,2 AVENUE,10003,(646)606-2384,15.4,B
5201,Coopers Craft And Kitchen,Manhattan,169,8TH AVE,10011,(917)716-4590,19.428571428571427,B
5202,Copa-Cabana Grill,Queens,8026,ROOSEVELT AVE,11372,(347)475-6956,10.0,A
5203,Copacabana Pizza & Grill,Queens,3113,36 AVENUE,11106,(718)545-3685,17.42105263157895,B
5204,Coperaco Navy Pier,Staten Island,7,NAVY PIER CT,10304,(718)273-6445,12.0,A
5205,Copinette,Manhattan,891,1ST AVE,10022,(212)903-4001,19.1,B
5206,Coppelia Cuban Luncheonette,Manhattan,207,WEST   14 STREET,10011,(212)858-5001,15.666666666666666,B
5207,Copper And Oak,Manhattan,157,ALLEN ST,10002,(212)460-5546,8.4,A
5208,Copper Kettle,Queens,5024,SKILLMAN AVENUE,11377,(718)335-7596,12.444444444444445,A
5209,Copper Throat,Manhattan,123,LUDLOW ST,10002,(917)261-7891,29.95,C
5210,Coppola'S,Manhattan,206,WEST   79 STREET,10024,(212)877-3840,16.541666666666668,B
5211,Coppola'S,Manhattan,378,3 AVENUE,10016,(212)679-0070,13.923076923076923,A
5212,Coppola'S Pizzeria,Queens,13212,14 AVENUE,11356,(718)746-0016,17.4375,B
5213,Cor Thai You,Brooklyn,1310,CORTELYOU RD,11226,(718)676-7388,34.1025641025641,C
5214,Corado Bread & Pastry,Manhattan,1361,LEXINGTON AVE,10128,(212)348-8943,14.23076923076923,B
5215,Corato I Pizza & Restaurant,Queens,6694,FRESH POND ROAD,11385,(718)497-6177,17.3125,B
5216,Corato Pizza Ii,Queens,6091,MYRTLE AVENUE,11385,(718)381-0915,25.266666666666666,B
5217,Corazon Latino,Queens,13840,84 DRIVE,11435,(718)262-8661,14.0,B
5218,Corbet & Conley Caterers,Manhattan,145,E 17TH ST,10003,(212)982-3939,10.0625,A
5219,Corfu Grill,Queens,7017,AUSTIN STREET,11375,(718)263-6263,16.466666666666665,B
5220,Cork & Kale (Even Hotel New York-Midtown East),Manhattan,219,E 44TH ST,10017,(212)239-0002,23.181818181818183,B
5221,Cork & Kale At Even Hotel,Brooklyn,46,NEVINS ST,11217,(718)552-3800,21.11111111111111,B
5222,Cork & Kale At Even Hotel,Manhattan,321,W 35TH ST,10001,(212)356-0034,15.263157894736842,B
5223,Corkbuzz Wine Studio,Manhattan,13,EAST   13 STREET,10003,(646)873-6071,15.083333333333334,B
5224,Corkbuzz Winebar Chelsea Market,Manhattan,75,9th AVE,10011,(646)237-4847,8.714285714285714,A
5225,Corky'S Diner,Bronx,2535,GRAND CONCOURSE,10468,(718)933-2484,18.0625,B
5226,Corner 28,Queens,13524,40TH RD,11354,(718)886-6628,11.333333333333334,A
5227,Corner Bistro,Brooklyn,103,N 3RD ST,11249,(718)673-3451,4.0,A
5228,Corner Bistro,Manhattan,331,WEST    4 STREET,10014,(212)242-9502,26.529411764705884,B
5229,Corner Bistro,Queens,4718,VERNON BOULEVARD,11101,(718)606-6500,17.545454545454547,B
5230,Corner Cafe,Brooklyn,2,DITMAS AVE,11218,(347)539-9882,12.0,A
5231,Corner Cafe,Brooklyn,2,DITMAS AVE,11218,(718)435-2233,24.906976744186046,B
5232,Corner Cafe,Manhattan,2518,BROADWAY,10025,(212)280-1900,7.25,A
5233,Corner Cafe And Bakery,Manhattan,1645-1651,THIRD AVENUE,10128,(212)860-8060,29.742857142857144,C
5234,Corner Delhi,Brooklyn,447,BERGEN ST,11217,(718)576-3056,9.666666666666666,A
5235,Corner Donut Coffee Shop,Queens,1933,MOTT AVE,11691,(718)327-5421,14.083333333333334,B
5236,Corner Gourmet Ii,Manhattan,66,WEST BROADWAY,10007,(212)406-2200,31.076923076923077,C
5237,Corner Grind,Brooklyn,1183,BEDFORD AVE,11216,(917)213-0611,27.77777777777778,C
5238,Corner House Bbq,Staten Island,102,LINCOLN AVE,10306,(718)987-1227,24.615384615384617,B
5239,Corner House Bbq Express,Staten Island,97,LINCOLN AVE,10306,(718)351-4141,35.857142857142854,C
5240,Corner Slice (Located Inside Gotham West Market On 45 St. & 11Th Ave),Manhattan,600,11TH AVE,10036,(212)956-9339,43.0,C
5241,Corner Social,Manhattan,321,LENOX AVENUE,10027,(212)510-8552,24.63157894736842,B
5242,Cornerstone Cafe,Manhattan,17,AVENUE B,10009,(212)228-1260,16.363636363636363,B
5243,Cornerstone Cafe,Queens,6015,WOODSIDE AVE,11377,(718)457-7285,14.222222222222221,B
5244,Cornerstone Tavern/The Stag'S Head,Manhattan,961,2 AVENUE,10022,(212)888-2453,12.923076923076923,A
5245,Corona Diner,Queens,9128,CORONA AVE,11373,(718)699-0866,24.82758620689655,B
5246,Corona Great China,Brooklyn,5421,5TH AVE,11220,(718)567-2816,9.0,A
5247,Corona Gyro,Queens,4012,104 STREET,11368,(718)205-8683,22.96153846153846,B
5248,Corona Pizza,Queens,5123,108 STREET,11368,(718)271-3736,8.454545454545455,A
5249,Corrado Bread And Pastry,Manhattan,960,LEXINGTON AVENUE,10021,(212)774-1904,24.0,B
5250,Cort Theatre,Manhattan,138,WEST   48 STREET,10105,(212)586-7610,8.714285714285714,A
5251,Corte Cafe,Manhattan,2,LAFAYETTE STREET,10007,(212)766-3200,23.333333333333332,B
5252,Corvo Coffee,Manhattan,270,W 39TH ST,10018,(212)239-1117,31.576923076923077,C
5253,Cosi,Manhattan,55,BROAD STREET,10004,(212)344-5000,17.736842105263158,B
5254,Cosi,Manhattan,60,EAST   56 STREET,10022,(212)588-1225,24.72,B
5255,Cosi,Manhattan,61,WEST   48 STREET,10020,(212)265-7579,17.933333333333334,B
5256,Cositas Ricas,Queens,7919,ROOSEVELT AVENUE,11372,(718)478-1500,17.962962962962962,B
5257,Cosme,Manhattan,35,E 21ST ST,10010,(212)913-9659,14.2,B
5258,Cosmic Diner,Manhattan,888,8 AVENUE,10019,(212)333-5888,14.875,B
5259,Cosmos Restaurant,Bronx,726,EAST TREMONT AVENUE,10457,(718)299-1925,14.0,B
5260,Costa Verde,Queens,9459,CORONA AVENUE,11373,(718)271-0900,17.692307692307693,B
5261,Costas,Manhattan,30,W 35TH ST,10001,(786)281-7669,10.88888888888889,A
5262,Costello'S Claddagh Inn,Brooklyn,3042,NOSTRAND AVENUE,11229,(718)377-9798,12.777777777777779,A
5263,Coszcal De Allende Restaurant,Brooklyn,6824,3RD AVE,11220,(718)921-3523,17.545454545454547,B
5264,Cote Korean Steakhouse,Manhattan,16,W 22ND ST,10010,(212)401-7986,10.6,A
5265,Cote Soleil,Queens,5012,SKILLMAN AVE,11377,(347)612-4333,13.909090909090908,A
5266,Cotenna,Manhattan,21,BEDFORD ST,10014,(646)861-0175,19.387096774193548,B
5267,Cott Bakery,Brooklyn,5414,7TH AVE,11220,(347)889-5228,12.5,A
5268,Cotta,Manhattan,513,COLUMBUS AVENUE,10024,(212)873-8500,15.25,B
5269,Cotta Bene,Brooklyn,291,3 AVENUE,11215,(718)722-7200,32.72222222222222,C
5270,Cotto,Queens,0,LAGUARDIA AIRPORT,11369,(718)420-5693,9.857142857142858,A
5271,Cotto Market-Gate C30,Queens,0,LAGUARDIA AIRPORT,11369,(212)776-1478,1.3333333333333333,A
5272,Cotton Bean,Brooklyn,1077,BERGEN ST,11216,(347)276-8749,21.615384615384617,B
5273,Cotton Club,Manhattan,664,WEST  125 STREET,10027,(212)663-7980,20.857142857142858,B
5274,Couleur Cafe,Brooklyn,435,7 AVENUE,11215,(718)788-6600,13.384615384615385,A
5275,Counter & Bodega,Manhattan,266,W 23RD ST,10011,(917)751-2614,8.0,A
5276,Country Bay Pizza,Bronx,3233,AMPERE AVE,10465,(929)777-9555,59.875,C
5277,Country Boyz Jerk Yard Restaurant,Bronx,1182,EAST GUNHILL ROAD,10469,(718)231-6560,17.625,B
5278,Country Donuts,Staten Island,3235,RICHMOND AVENUE,10312,(718)967-7111,14.333333333333334,B
5279,Country Donuts,Staten Island,4357,AMBOY ROAD,10312,(718)356-0884,21.166666666666668,B
5280,Country Heart Cooking,Queens,202-20,ROCKAWAY POINT BOULEVARD,11697,(718)318-3445,12.375,A
5281,Country Life Jerk Jamaican & American Dishes,Queens,14712,TUSKEGEE AIRMEN WAY,11435,(917)300-2991,21.0,B
5282,Country Spice,Brooklyn,884,RUTLAND RD,11203,(347)932-2607,21.727272727272727,B
5283,Country Style Restaurant,Bronx,1195,WALTON AVE,10452,(718)410-8460,19.142857142857142,B
5284,Country Thyme Cuisine,Bronx,1455,EAST  222 STREET,10469,(347)920-4276,22.129032258064516,B
5285,Court Deli Restaurant,Bronx,96,EAST  161 STREET,10451,(718)993-1380,23.294117647058822,B
5286,Court Order,Brooklyn,52,COURT STREET,11201,(718)935-9300,8.6,A
5287,Court Pastry Shop,Brooklyn,298,COURT ST,11231,(718)875-4820,22.523809523809526,B
5288,Court Square Diner,Queens,4530,23 STREET,11101,(718)392-1222,8.8,A
5289,Court Street Bagels,Brooklyn,181,COURT STREET,11201,(718)624-3972,11.857142857142858,A
5290,Court Street Grocer'S Laguardia Place,Manhattan,540,LAGUARDIA PL,10012,(212)777-9292,20.391304347826086,B
5291,Court Street Grocers,Brooklyn,485,COURT STREET,11231,(718)722-7229,9.083333333333334,A
5292,Court Street Grocers Hero Shop,Brooklyn,116,SULLIVAN STREET,11231,(347)529-6803,12.090909090909092,A
5293,Court Street Grocers Lunch,Brooklyn,378,METROPOLITAN AVE,11211,(718)384-4218,38.36363636363637,C
5294,Courthouse Deli,Queens,8840,SUTPHIN BOULEVARD,11435,(718)725-0255,17.818181818181817,B
5295,Courtney'S Rotisserie & Grill,Brooklyn,2175,RALPH AVENUE,11234,(718)968-1888,25.192307692307693,B
5296,Courtside Lounge Sports Bar,Queens,6908,MYRTLE AVENUE,11385,(718)417-1170,15.478260869565217,B
5297,Courtyard By Marriott,Queens,14511,NORTH CONDUIT AVENUE,11436,(718)848-2121,15.045454545454545,B
5298,Courtyard Long Island City/Manhattan View,Queens,2915,QUEENS PLZ N,11101,(718)786-0003,13.142857142857142,A
5299,Courtyard Marriott/Table 181 Soho,Manhattan,181,VARICK STREET,10014,(212)414-8282,10.75,A
5300,Cousin John'S Cafe And Bakery,Brooklyn,70,7 AVENUE,11217,(718)622-7333,12.090909090909092,A
5301,Cousins Deli Restaurant,Brooklyn,4102,3RD AVE,11232,(718)768-6811,24.476190476190474,B
5302,Cousins Maine Lobster,Manhattan,77,LEXINGTON AVE,10010,(917)513-3582,15.4,B
5303,Cousins' Pizza & Pasta,Bronx,3579,E TREMONT AVE,10465,(718)431-0055,26.5,B
5304,Cove Lounge,Manhattan,325,LENOX AVENUE,10027,(212)665-3455,20.944444444444443,B
5305,Covenhoven,Brooklyn,730,CLASSON AVE,11238,(646)894-7777,11.5,A
5306,Covina,Manhattan,124,E 28TH ST,10016,(212)204-5249,25.75,B
5307,Covington & Burling,Manhattan,620,8 AVENUE,10018,(212)379-8187,10.0,A
5308,Cowgirl Hall Of Fame,Manhattan,519,HUDSON STREET,10014,(212)633-1133,16.0,B
5309,Cowgirl Seahorse,Manhattan,259,FRONT STREET,10038,(212)608-7873,15.933333333333334,B
5310,Coyote Bohemio,Queens,5519,MYRTLE AVENUE,11385,(718)386-8616,12.727272727272727,A
5311,Coyote Ugly,Manhattan,153,FIRST AVENUE,10003,(212)477-4431,21.391304347826086,B
5312,Cozumel Tortilla,Manhattan,877,10TH AVE,10019,(212)445-1009,26.852941176470587,B
5313,Cozy Cafe,Manhattan,43,EAST 1 STREET,10003,(212)475-0177,13.214285714285714,A
5314,Cozy Coffee,Brooklyn,925B,MARCY AVE,11216,(646)207-5854,38.12,C
5316,Cozy Corner/Chicken Lover,Manhattan,1161,2 AVENUE,10065,(212)308-6052,27.72340425531915,C
5317,Cozy Cottage Restaurant,Bronx,4105,BOSTON ROAD,10466,(718)882-3040,25.041666666666668,B
5318,Cozy Diner & Cafe,Queens,1409,150 STREET,11357,(718)767-4949,11.0,A
5319,Cozy Soup & Burger,Manhattan,739,BROADWAY,10003,(212)477-5566,11.933333333333334,A
5320,Cozzi Pizza,Brooklyn,584,BROADWAY,11206,(718)963-4848,17.63157894736842,B
5321,Cp Grill,Queens,13102,14TH AVE,11356,(917)285-2719,11.857142857142858,A
5322,Cps Events At The Plaza,Manhattan,768,5 AVENUE,10019,(212)549-0520,16.636363636363637,B
5323,Cpz Seafood,Brooklyn,770,59TH ST,11220,(917)832-5705,19.5,B
5324,Crab Shanty,Bronx,361,CITY ISLAND AVE,10464,(718)885-1810,10.692307692307692,A
5325,Crab Spot Restaurant,Brooklyn,833,UNION STREET,11215,(718)622-2722,22.5,B
5326,Craft Beer Bar,Brooklyn,234,STARR ST,11237,(718)552-2330,9.666666666666666,A
5327,Craft Beer Garden,Manhattan,4,PENN PLZ,10121,(212)465-6302,0.0,A
5328,Craft Culture,Queens,5904,MYRTLE AVE,11385,(718)628-3931,6.2,A
5329,Craft Empanadas By S&R,Bronx,261,E GUN HILL RD,10467,(347)964-5685,2.0,A
5330,Craft House Inc,Staten Island,60,VAN DUZER ST,10301,(718)442-3433,21.529411764705884,B
5331,Cranberry,Queens,2802,42ND RD,11101,(718)784-2784,47.75,C
5332,Cranberry Cafe,Manhattan,115,WEST   45 STREET,10036,(212)730-9495,28.192307692307693,C
5333,Cranberry'S,Brooklyn,48,HENRY STREET,11201,(718)624-3500,17.791666666666668,B
5334,Cravath Cafe,Manhattan,825,8 AVENUE,10019,(212)474-4863,9.7,A
5335,Crave,Queens,2855,36 STREET,11103,(718)726-4976,11.428571428571429,A
5336,Crave Fish Bar,Manhattan,428,AMSTERDAM AVE,10024,(646)494-2750,13.277777777777779,A
5337,Crave Fish Bar,Manhattan,945,2 AVENUE,10022,(646)895-9585,15.277777777777779,B
5338,Craya Cafe,Staten Island,837,FATHER CAPODANNO BLVD,10305,(718)351-1551,30.0,C
5339,Crazy Willy'S,Queens,11710,JAMAICA AVE,11418,(718)441-5614,28.285714285714285,C
5340,Cream Coffee Shop,Brooklyn,7210,3RD AVE,11209,(718)333-5288,8.2,A
5342,Creamistry,Manhattan,129,WALKER ST,10013,(646)682-7276,14.2,B
5343,Create,Queens,2921,DITMARS BLVD,11105,(347)739-8424,24.814814814814813,B
5344,Create,Queens,3603,30 AVENUE,11103,(718)204-0333,13.5,A
5345,Creative Cakes,Manhattan,400,EAST   74 STREET,10021,(212)794-9811,3.0,A
5346,Creative Edge Caterers,Manhattan,110,BARROW STREET,10014,(212)741-3000,20.653846153846153,B
5347,Credit Agricole-Cbi Executive Room,Manhattan,1301,AVENUE OF THE AMERICAS,10019,(212)261-7104,4.8,A
5348,Credit Suisse B-2= Cafe,Manhattan,11,MADISON AVENUE,10010,(212)325-2045,5.0,A
5349,Credit Suisse- Small Change Cafe,Manhattan,1,MADISON AVE,10010,(908)451-6718,2.0,A
5350,Credit Suisse-10 West Catering,Manhattan,11,MADISON AVE,10010,(908)447-6590,3.0,A
5351,Creditsuisse - 2 Below,Manhattan,11,MADISON AVE,10010,(908)451-6718,7.0,A
5352,Creep City Ninja Bubble Tea Llc,Brooklyn,265,GRAHAM AVE,11206,(347)457-5192,26.6,B
5353,Crema Bk,Brooklyn,182,DRIGGS AVE,11222,(347)457-5363,14.615384615384615,B
5354,Creme & Sugar,Queens,5842A,CATALPA AVE,11385,(347)927-6171,8.625,A
5355,Creme And Cocoa Cremery,Brooklyn,1067,NOSTRAND AVE,11225,(718)245-6285,11.0,A
5356,Cremini'S,Brooklyn,521,COURT ST,11231,(929)305-4026,22.0,B
5357,Creole Fusion,Queens,11144,SPRINGFIELD BLVD,11429,(718)464-2900,20.272727272727273,B
5358,Creole Plate,Queens,23306,MERRICK BLVD,11422,(718)341-8566,16.0,B
5359,Crepe ''N'' Tearia,Queens,17707,UNION TPKE,11366,(718)380-0887,15.4,B
5360,Crepe Cafe,Manhattan,1642,LEXINGTON AVE,10029,(347)266-2458,30.0,C
5361,Crepe Factory,Brooklyn,7306,3RD AVE,11209,(347)421-6990,11.461538461538462,A
5362,Creperie,Manhattan,112,MACDOUGAL STREET,10012,(201)723-1055,11.545454545454545,A
5363,Creperie,Manhattan,135,LUDLOW STREET,10002,(212)979-5521,5.8,A
5364,Crepes & More,Brooklyn,205,WYCKOFF AVE,11237,(347)557-4100,31.0,C
5365,Crepes And Things,Manhattan,348,BOWERY,10012,(646)861-8410,2.0,A
5366,Crepes Du Nord,Staten Island,2655,RICHMOND AVE,10314,(516)286-0203,13.222222222222221,A
5367,Crepes On Columbus,Manhattan,990,COLUMBUS AVENUE,10025,(212)222-0259,21.76,B
5368,Crescent & Vine,Queens,2503,DITMARS BOULEVARD,11105,(718)204-4774,12.2,A
5369,Crif Dogs,Brooklyn,555,DRIGGS AVENUE,11211,(718)302-3200,10.833333333333334,A
5370,Crif Dogs / Please Don'T Tell,Manhattan,113,ST  MARKS PLACE,10009,(212)614-2728,17.238095238095237,B
5371,Criminal Court Bldg Cafeteria,Manhattan,100,CENTRE STREET,10013,(212)962-1037,20.0,B
5372,Crimson & Rye,Manhattan,198,E 54TH ST,10022,(212)687-6692,8.666666666666666,A
5373,Cris Juice Bar Corp.,Bronx,370,E 188TH ST,10458,(718)220-2800,28.0,C
5374,Crisp,Manhattan,110,WEST   40 STREET,10018,(646)897-4775,11.166666666666666,A
5375,Crisp & Crunch Kennedy Fried Chicken,Brooklyn,1258,FLATBUSH AVE,11226,(718)484-8304,18.23076923076923,B
5376,Crispo,Manhattan,240,WEST   14 STREET,10011,(212)229-1818,12.454545454545455,A
5377,Crispy Chicken Restaurant,Queens,21552,JAMAICA AVE,11428,(718)749-5899,9.0,A
5378,Crispy Pizza,Staten Island,782,RICHMOND TERRACE,10301,(718)420-6050,15.461538461538462,B
5379,Cristina Deli,Queens,1237,150TH ST,11357,(718)357-6055,16.695652173913043,B
5380,Crocodile Lounge,Manhattan,325,EAST   14 STREET,10003,(212)477-7747,16.272727272727273,B
5381,Crocus,Brooklyn,328,TOMPKINS AVE,11216,(718)622-2426,9.625,A
5382,Crompton Ale House,Manhattan,159,W 26TH ST,10001,(212)658-0089,9.0,A
5383,Cronin & Phelan Pub & Restaurant,Queens,3814,BROADWAY,11103,(718)545-8999,11.4,A
5384,Cropsey Lounge,Brooklyn,1861,CROPSEY AVE,11214,(718)372-9286,13.5,A
5385,Cropsey Pizza And Pasta,Brooklyn,2811,CROPSEY AVE,11214,(718)974-2010,21.63157894736842,B
5386,Croque Madame,Queens,0,JFK INTERNATIONAL AIRPORT,11430,(929)241-4616,2.3333333333333335,A
5387,Crosby Pizza Stop,Bronx,1731,CROSBY AVENUE,10461,(718)823-8980,10.2,A
5388,Cross Bronx Pizzeria,Bronx,1105,CASTLE HILL AVE,10472,(718)892-8459,10.090909090909092,A
5389,Cross Culture Kitchen,Manhattan,62,E 116TH ST,10029,(212)860-3900,18.952380952380953,B
5390,Crossbay Deli & Grill,Queens,10510,CROSSBAY BLVD,11417,(718)848-8887,12.8125,A
5391,Crossbay Diner,Queens,16031,CROSSBAY BOULEVARD,11414,(718)848-9401,11.75,A
5392,Crossfit Spot,Manhattan,55,AMSTERDAM AVE,10023,(646)330-3791,30.0,C
5393,Crossroad Cafe (Morgan Lewis),Manhattan,101,PARK AVE,10178,(212)309-6606,8.666666666666666,A
5394,Crossroads (Marriott Marquis),Manhattan,1535,BROADWAY,10036,(212)398-1900,19.5,B
5395,Crosstown Diner,Bronx,2880,BRUCKNER BOULEVARD,10465,(718)597-3450,19.0625,B
5396,Crown Chicken & Biscuit,Brooklyn,152,ROCKAWAY AVE,11233,(718)346-0088,15.619047619047619,B
5397,Crown Chicken & Deli,Brooklyn,2718,PITKIN AVE,11208,(917)586-5062,7.0,A
5398,Crown Chicken & Pizza,Staten Island,2047,RICHMOND TER,10302,(347)825-3312,54.5,C
5399,Crown Chicken Burger & Pizza,Bronx,332,E GUN HILL RD,10467,(718)405-1000,11.428571428571429,A
5400,Crown Fried  Chicken,Bronx,1459,UNIONPORT RD,10462,(347)524-4071,16.933333333333334,B
5401,Crown Fried Chicken,Bronx,1572,EAST  174 STREET,10472,(917)603-3452,10.076923076923077,A
5402,Crown Fried Chicken,Bronx,343,EAST  194 STREET,10458,(718)220-2727,15.56,B
5403,Crown Fried Chicken,Brooklyn,101,RALPH AVE,11221,(347)787-1967,15.2,B
5404,Crown Fried Chicken,Brooklyn,1181,SUTTER AVE,11208,(718)841-6570,18.95,B
5405,Crown Fried Chicken,Brooklyn,127,WYCKOFF AVE,11237,(718)381-8400,17.36842105263158,B
5406,Crown Fried Chicken,Brooklyn,148,UTICA AVE,11213,(917)966-2500,12.866666666666667,A
5407,Crown Fried Chicken,Brooklyn,1519,FULTON ST,11216,(347)725-7559,24.384615384615383,B
5408,Crown Fried Chicken,Brooklyn,167,MARCUS GARVEY BLVD,11221,(718)224-6030,8.75,A
